state,year,hiv_ed_mandate,sex_ed_mandate
Massachusetts,2018,0,0
Massachusetts,2019,,
Massachusetts,2020,,
Massachusetts,2021,,
Massachusetts,2022,0,0
Michigan,2017,1,0
Michigan,2018,1,0
Michigan,2019,,
Michigan,2020,,
Michigan,2021,,
Michigan,2022,0,0
Minnesota,2017,1,1
Minnesota,2018,1,1
Minnesota,2019,,
Minnesota,2020,,
Minnesota,2021,,
Minnesota,2022,1,1
Mississippi,2017,0,1
Mississippi,2018,0,1
Mississippi,2019,,
Mississippi,2020,,
Mississippi,2021,,
Mississippi,2022,1,1
Missouri,2017,1,0
Missouri,2018,1,0
Missouri,2019,,
Missouri,2020,,
Missouri,2021,,
Missouri,2022,0,0
Montana,2017,1,1
Montana,2018,1,1
Montana,2019,,
Montana,2020,,
Montana,2021,,
Montana,2022,1,1
Nebraska,2017,0,0
Nebraska,2018,0,0
Nebraska,2019,,
Nebraska,2020,,
Nebraska,2021,,
Nebraska,2022,0,0
Nevada,2017,1,1
Nevada,2018,1,1
Nevada,2019,,
Nevada,2020,,
Nevada,2021,,
Nevada,2022,1,1
New Hampshire,2017,1,1
New Hampshire,2018,1,1
New Hampshire,2019,,
New Hampshire,2020,,
New Hampshire,2021,,
New Hampshire,2022,1,1
New Jersey,2017,1,1
New Jersey,2018,1,1
New Jersey,2019,,
New Jersey,2020,,
New Jersey,2021,,
New Jersey,2022,1,1
New Mexico,2017,1,1
New Mexico,2018,1,1
New Mexico,2019,,
New Mexico,2020,,
New Mexico,2021,,
New Mexico,2022,1,1
New York,2017,1,0
New York,2018,1,0
New York,2019,,
New York,2020,,
New York,2021,,
New York,2022,0,0
North Carolina,2017,1,1
North Carolina,2018,1,1
North Carolina,2019,,
North Carolina,2020,,
North Carolina,2021,,
North Carolina,2022,1,1
North Dakota,2017,0,1
North Dakota,2018,0,1
North Dakota,2019,,
North Dakota,2020,,
North Dakota,2021,,
North Dakota,2022,1,1
Ohio,2017,1,0
Ohio,2018,1,1
Ohio,2019,,
Ohio,2020,,
Ohio,2021,,
Ohio,2022,1,1
Oklahoma,2017,1,0
Oklahoma,2018,1,0
Oklahoma,2019,,
Oklahoma,2020,,
Oklahoma,2021,,
Oklahoma,2022,0,0
Oregon,2017,1,1
Oregon,2018,1,1
Oregon,2019,,
Oregon,2020,,
Oregon,2021,,
Oregon,2022,1,1
Pennsylvania,2017,1,0
Pennsylvania,2018,1,0
Pennsylvania,2019,,
Pennsylvania,2020,,
Pennsylvania,2021,,
Pennsylvania,2022,0,0
Rhode Island,2017,1,1
Rhode Island,2018,1,1
Rhode Island,2019,,
Rhode Island,2020,,
Rhode Island,2021,,
Rhode Island,2022,1,1
South Carolina,2017,1,1
South Carolina,2018,1,1
South Carolina,2019,,
South Carolina,2020,,
South Carolina,2021,,
South Carolina,2022,1,1
South Dakota,2017,0,0
South Dakota,2018,0,0
South Dakota,2019,,
South Dakota,2020,,
South Dakota,2021,,
South Dakota,2022,0,0
Tennessee,2017,1,1
Tennessee,2018,1,1
Tennessee,2019,,
Tennessee,2020,,
Tennessee,2021,,
Tennessee,2022,1,1
Texas,2017,1,1
Texas,2018,1,1
Texas,2019,,
Texas,2020,,
Texas,2021,,
Texas,2022,1,1
Utah,2017,1,1
Utah,2018,1,1
Utah,2019,,
Utah,2020,,
Utah,2021,,
Utah,2022,1,1
Vermont,2017,1,1
Vermont,2018,1,1
Vermont,2019,,
Vermont,2020,,
Vermont,2021,,
Vermont,2022,1,1
Virginia,2017,0,0
Virginia,2018,0,0
Virginia,2019,,
Virginia,2020,,
Virginia,2021,,
Virginia,2022,0,0
Washington,2017,1,0
Washington,2018,1,0
Washington,2019,,
Washington,2020,,
Washington,2021,,
Washington,2022,1,1
West Virginia,2017,1,0
West Virginia,2018,1,1
West Virginia,2019,,
West Virginia,2020,,
West Virginia,2021,,
West Virginia,2022,1,1
Wisconsin,2017,1,0
Wisconsin,2018,1,0
Wisconsin,2019,,
Wisconsin,2020,,
Wisconsin,2021,,
Wisconsin,2022,0,0
Wyoming,2017,1,1
Wyoming,2018,1,1
Wyoming,2019,,
Wyoming,2020,,
Wyoming,2021,,
Wyoming,2022,0,0
